id,risk,riskScore,txCount,pattern,aiExplanation,role,cluster
1004286A8,laundering,0.9237954616546631,103671,,TOBEFILLED,,1
8072CB530,laundering,0.6240956783294678,87,,TOBEFILLED,,1
8067B9110,laundering,0.593397855758667,39,,TOBEFILLED,,1
801ED0D60,laundering,0.5923298597335815,65,,TOBEFILLED,,1
803154530,laundering,0.5669527053833008,54,,TOBEFILLED,,1
801ED1150,laundering,0.566612720489502,16,,TOBEFILLED,,1
81247AEF0,laundering,0.5592653751373291,41,,TOBEFILLED,,1
8010D6540,laundering,0.5564921498298645,83,,TOBEFILLED,,1
807A84B90,laundering,0.5492135286331177,26,,TOBEFILLED,,1
80190B350,laundering,0.5398116707801819,92,,TOBEFILLED,,1
802213AB0,laundering,0.5368144512176514,101,,TOBEFILLED,,1
807ACA380,laundering,0.5297734141349792,32,,TOBEFILLED,,1
802972060,laundering,0.5152934789657593,46,,TOBEFILLED,,1
801A35B90,laundering,0.5146277546882629,140,,TOBEFILLED,,1
8027FA4E0,laundering,0.5102847814559937,31,,TOBEFILLED,,1
80C2C7140,suspicious,0.49859678745269775,25,,TOBEFILLED,,1
801035DB0,suspicious,0.48664340376853943,128,,TOBEFILLED,,1
80B956280,suspicious,0.47969406843185425,18,,TOBEFILLED,,1
801109BC0,suspicious,0.4743596017360687,68,,TOBEFILLED,,1
80EC25A20,suspicious,0.47346487641334534,47,,TOBEFILLED,,1
807FD59A0,suspicious,0.4633064270019531,39,,TOBEFILLED,,1
811086860,suspicious,0.462700754404068,11,,TOBEFILLED,,1
80048D380,suspicious,0.46167507767677307,72,,TOBEFILLED,,1
8020C1E90,suspicious,0.45430052280426025,34,,TOBEFILLED,,1
807360610,suspicious,0.45372632145881653,42,,TOBEFILLED,,1
80C0E1690,suspicious,0.45110827684402466,37,,TOBEFILLED,,1
800AA3010,suspicious,0.4401647746562958,92,,TOBEFILLED,,1
810447220,suspicious,0.43972450494766235,34,,TOBEFILLED,,1
8025F0230,suspicious,0.4369261562824249,78,,TOBEFILLED,,1
801634A90,suspicious,0.4298756718635559,9,,TOBEFILLED,,1
8001023B0,suspicious,0.4292066693305969,155,,TOBEFILLED,,1
8069DEFA0,suspicious,0.42823711037635803,27,,TOBEFILLED,,1
810285FC0,suspicious,0.4196547269821167,20,,TOBEFILLED,,1
8008552D0,suspicious,0.4195404052734375,43,,TOBEFILLED,,1
807BF2610,suspicious,0.417540580034256,63,,TOBEFILLED,,1
803C06A90,suspicious,0.41638949513435364,55,,TOBEFILLED,,1
800511950,suspicious,0.4160224497318268,158,,TOBEFILLED,,1
808FFC690,suspicious,0.4141215980052948,57,,TOBEFILLED,,1
8020503E0,suspicious,0.40857210755348206,70,,TOBEFILLED,,1
80B9EDBD0,suspicious,0.4072793424129486,32,,TOBEFILLED,,1
80432B470,suspicious,0.40223565697669983,42,,TOBEFILLED,,1
80C8EDD60,suspicious,0.39597398042678833,65,,TOBEFILLED,,1
8000674A0,suspicious,0.3775928020477295,234,,TOBEFILLED,,1
813BF1130,suspicious,0.3501221239566803,35,,TOBEFILLED,,1
80794FAE0,suspicious,0.3439781665802002,29,,TOBEFILLED,,1
808012A40,suspicious,0.3165847957134247,12,,TOBEFILLED,,1
8088D26A0,suspicious,0.3129183351993561,5,,TOBEFILLED,,1
